Date,Ticker,Entry_Price,Oracle_Score,Projected_Upside,Fair_Value,F_Score,Status,Safety_Badge,Momentum_Badge,Regime_Active
2026-01-04,EXIDEIND.NS,367.7,33.5,-60.6,144.71,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,NYKAA.NS,264.9,47.6,-93.1,18.35,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,FEDERALBNK.NS,266.95,56.6,-2.0,261.67,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,FACT.NS,908.05,13.4,-98.9,9.86,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,FINCABLES.NS,784.45,26.9,-9.6,708.9,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,FINPIPE.NS,178.51,28.6,-62.5,66.85,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,FSL.NS,340.55,11.0,-69.8,102.99,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,FIVESTAR.NS,532.25,22.4,5.8,563.36,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,FORCEMOT.NS,21230.0,21.0,-66.6,7098.75,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,FORTIS.NS,914.75,46.3,-87.1,118.24,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GAIL.NS,175.38,40.7,4.7,183.66,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,GVT&D.NS,3093.7,25.2,-84.1,493.19,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GMRAIRPORT.NS,105.77,48.9,0.0,,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GRSE.NS,2437.0,7.3,-70.8,712.31,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GICRE.NS,379.55,56.5,72.7,655.38,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GILLETTE.NS,8207.5,30.9,-74.4,2097.65,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,GLAND.NS,1715.8,28.7,-71.5,488.83,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,GLAXO.NS,2483.8,19.0,-53.5,1155.44,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GLENMARK.NS,2064.5,37.8,-72.2,574.06,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,MEDANTA.NS,1217.1,40.8,-77.2,277.27,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GODIGIT.NS,346.35,35.0,-79.4,71.2,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GPIL.NS,273.05,30.5,-68.7,85.38,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GODFRYPHLP.NS,2249.3,2.7,-52.7,1063.31,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GODREJAGRO.NS,573.95,21.4,4.4,599.03,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GODREJCP.NS,1235.2,47.1,-75.8,298.98,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GODREJIND.NS,1021.1,23.9,-55.9,450.8,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GODREJPROP.NS,2068.5,15.5,-65.2,719.05,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GRANULES.NS,615.35,24.8,-69.4,188.0,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GRAPHITE.NS,659.7,22.9,-60.0,263.6,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GRASIM.NS,2856.4,44.7,-70.4,844.91,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,GRAVITA.NS,1860.5,18.1,-80.0,371.5,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,GESHIP.NS,1114.0,61.4,43.2,1595.18,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,FLUOROCHEM.NS,3648.0,32.2,-78.9,769.07,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GUJGASLTD.NS,436.3,34.1,-45.7,236.91,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,GMDCLTD.NS,619.45,29.0,-67.4,202.08,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,GSPL.NS,319.95,66.1,51.3,483.96,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HEG.NS,619.7,24.7,-87.4,78.15,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,HBLENGINE.NS,937.55,21.5,-93.0,65.58,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,HCLTECH.NS,1640.2,32.5,-26.3,1209.62,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HDFCAMC.NS,2657.2,41.5,-66.6,888.67,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,HDFCBANK.NS,1001.6,46.4,-32.4,677.31,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HDFCLIFE.NS,754.85,44.2,-82.8,129.88,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HFCL.NS,67.73,11.0,-71.9,19.03,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,HAPPSTMNDS.NS,466.1,28.9,-50.2,232.01,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HAVELLS.NS,1439.9,35.5,-87.2,184.92,5,Active,🛡️ HIGH,🐢 SLOW,BULLISH
2026-01-04,HEROMOTOCO.NS,5933.0,50.9,-55.2,2660.57,5,Active,🛡️ HIGH,🚀 FAST,BULLISH
2026-01-04,HEXT.NS,754.15,11.2,-52.3,359.39,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,HSCL.NS,494.0,22.5,-82.9,84.64,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,HINDALCO.NS,925.7,38.4,-71.9,260.33,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,HAL.NS,4417.8,23.4,-37.8,2749.81,5,Active,⚠️ MED,🐢 SLOW,BULLISH
2026-01-04,HINDCOPPER.NS,541.9,22.1,-96.3,19.89,5,Active,⚠️ MED,🚀 FAST,BULLISH
2026-01-04,HINDPETRO.NS,495.85,35.7,-31.8,337.98,5,Active,⚠️ MED,🚀 FAST,BULLISH
